time_observed_at,time_zone,latitude,longitude
2019-07-31 18:28:28 UTC,Pacific Time (US & Canada),48.4514883333,-123.3390883333
2019-07-31 18:30:33 UTC,Pacific Time (US & Canada),48.451625,-123.33867
2019-08-01 19:59:06 UTC,Pacific Time (US & Canada),48.443611145,-123.3822250366
2019-08-04 00:15:58 UTC,Pacific Time (US & Canada),48.5656866667,-123.4687633333
2019-08-04 00:33:41 UTC,Pacific Time (US & Canada),48.5656133333,-123.46868
2019-08-05 17:13:49 UTC,Pacific Time (US & Canada),48.49333,-123.3824833333
2019-08-05 18:26:32 UTC,Pacific Time (US & Canada),48.4942083333,-123.3807616667
2019-08-05 18:29:29 UTC,Pacific Time (US & Canada),48.4940083333,-123.3808883333
2019-08-05 22:43:59 UTC,Pacific Time (US & Canada),48.406665802,-123.5088882446
2019-08-09 18:35:39 UTC,Pacific Time (US & Canada),49.2105885587,-123.9869572323
2019-03-18 09:30:00 UTC,Pacific Time (US & Canada),48.5093288733,-123.4401386888
2019-08-10 18:42:52 UTC,Pacific Time (US & Canada),48.56445,-123.4390866667
2019-08-11 20:39:43 UTC,Pacific Time (US & Canada),48.4559827717,-123.277009204
2019-08-12 18:26:05 UTC,Pacific Time (US & Canada),48.4113966667,-123.3494116667
2019-08-12 18:28:05 UTC,Pacific Time (US & Canada),48.4114283333,-123.3491966667
2019-08-12 18:38:55 UTC,Pacific Time (US & Canada),48.4113533333,-123.3488466667
2019-08-12 18:40:36 UTC,Pacific Time (US & Canada),48.4113,-123.3485866667
2019-08-12 18:44:51 UTC,Pacific Time (US & Canada),48.4113366667,-123.348045
2019-08-12 19:01:38 UTC,Pacific Time (US & Canada),48.4113416667,-123.3479166667
2019-08-12 19:09:38 UTC,Pacific Time (US & Canada),48.4111583333,-123.3467466667
2019-08-12 19:11:34 UTC,Pacific Time (US & Canada),48.411045,-123.346475
2019-08-12 19:13:00 UTC,Pacific Time (US & Canada),48.4108616667,-123.3462366667
2019-08-12 19:14:01 UTC,Pacific Time (US & Canada),48.41063,-123.3461
2019-08-12 19:16:03 UTC,Pacific Time (US & Canada),48.4104366667,-123.346375
2019-08-12 19:19:40 UTC,Pacific Time (US & Canada),48.4098866667,-123.3465283333
2019-08-12 19:24:23 UTC,Pacific Time (US & Canada),48.4095883333,-123.345695
2019-08-12 19:31:07 UTC,Pacific Time (US & Canada),48.4097833333,-123.3452216667
2019-08-12 19:33:18 UTC,Pacific Time (US & Canada),48.409905,-123.3445133333
2019-08-12 19:38:37 UTC,Pacific Time (US & Canada),48.4104216667,-123.3444533333
2019-08-12 19:43:20 UTC,Pacific Time (US & Canada),48.410745,-123.3444966667
2019-08-12 19:44:31 UTC,Pacific Time (US & Canada),48.4107883333,-123.3442783333
2019-08-12 19:49:03 UTC,Pacific Time (US & Canada),48.4111466667,-123.3442083333
2019-08-12 19:53:45 UTC,Pacific Time (US & Canada),48.4114383333,-123.3439783333
2019-08-12 19:56:13 UTC,Pacific Time (US & Canada),48.4118166667,-123.3437366667
2019-08-12 20:12:10 UTC,Pacific Time (US & Canada),48.4140033333,-123.3464366667
2019-08-12 20:14:23 UTC,Pacific Time (US & Canada),48.4134916667,-123.3464666667
2019-08-12 20:16:43 UTC,Pacific Time (US & Canada),48.413545,-123.3468466667
2019-08-12 20:21:45 UTC,Pacific Time (US & Canada),48.413495,-123.3476416667
2019-08-12 20:28:13 UTC,Pacific Time (US & Canada),48.4136866667,-123.3482666667
2019-08-12 20:29:22 UTC,Pacific Time (US & Canada),48.4137166667,-123.348205
2019-08-12 20:30:05 UTC,Pacific Time (US & Canada),48.4137383333,-123.3483583333
,UTC,48.4850283333,-123.3725883333
2019-08-12 20:40:50 UTC,Pacific Time (US & Canada),48.4980545044,-123.3952789307
2019-05-28 23:24:00 UTC,Pacific Time (US & Canada),48.516319,-123.531259
2019-08-13 18:53:00 UTC,Pacific Time (US & Canada),48.4618633474,-123.2889125125
2019-05-17 08:21:00 UTC,Pacific Time (US & Canada),48.453501,-123.472952
2019-08-14 19:00:12 UTC,Pacific Time (US & Canada),48.4156333333,-123.3808533333
2019-08-14 19:02:55 UTC,Pacific Time (US & Canada),48.41555,-123.3811033333
2019-08-14 19:09:45 UTC,Pacific Time (US & Canada),48.4142333333,-123.38195
2019-08-14 19:13:52 UTC,Pacific Time (US & Canada),48.41408,-123.381705
2019-08-14 19:20:47 UTC,Pacific Time (US & Canada),48.41402,-123.38157
2019-08-14 19:25:25 UTC,Pacific Time (US & Canada),48.4142083333,-123.3810883333
2019-08-14 19:36:54 UTC,Pacific Time (US & Canada),48.414745,-123.3814466667
2019-08-14 19:42:22 UTC,Pacific Time (US & Canada),48.414795,-123.3821033333
2019-08-14 21:31:26 UTC,Pacific Time (US & Canada),48.4618594079,-123.2885730454
2019-08-14 20:28:00 UTC,Pacific Time (US & Canada),48.4421723086,-123.3758288579
2019-08-14 20:55:41 UTC,Pacific Time (US & Canada),48.4533666667,-123.48272
2019-05-09 16:47:55 UTC,Pacific Time (US & Canada),48.456059086,-123.3408687563
2019-05-09 16:57:25 UTC,Pacific Time (US & Canada),48.455155,-123.3384033333
2019-05-09 17:07:32 UTC,Pacific Time (US & Canada),48.4551116667,-123.33728
2019-05-09 17:11:26 UTC,Pacific Time (US & Canada),48.4549011797,-123.3363657326
2019-08-17 17:11:51 UTC,Pacific Time (US & Canada),48.5702896118,-123.4662094116
2019-08-17 23:00:00 UTC,Pacific Time (US & Canada),48.4703878305,-123.5069824253
,UTC,48.4304760061,-123.4951863137
2019-08-16 23:05:47 UTC,Pacific Time (US & Canada),48.4686283333,-123.31758
2018-07-07 00:37:51 UTC,Pacific Time (US & Canada),48.4687216667,-123.3180083333
2019-08-19 21:16:00 UTC,Pacific Time (US & Canada),48.4570607197,-123.5075011477
2019-08-20 22:54:25 UTC,Pacific Time (US & Canada),48.4304133869,-123.3230601409
2019-07-15 19:50:00 UTC,Pacific Time (US & Canada),49.2178914,-123.9896516
